1,508,177.83,203.18,33.20,99.34,1,-1,-1,-1
1,507,250.65,183.27,50.58,118.07,1,-1,-1,-1
1,506,586.98,194.32,41.53,131.63,1,-1,-1,-1
1,505,53.82,193.42,48.43,130.77,1,-1,-1,-1
1,504,291.56,192.47,39.49,119.23,1,-1,-1,-1
2,509,214.41,220.22,24.66,66.87,1,-1,-1,-1
2,508,178.30,203.11,33.44,101.72,1,-1,-1,-1
2,507,258.13,193.20,49.35,119.37,1,-1,-1,-1
2,506,599.34,188.22,39.63,126.37,1,-1,-1,-1
2,505,48.73,195.62,49.98,134.54,1,-1,-1,-1
2,504,293.68,193.85,40.64,118.12,1,-1,-1,-1
3,509,221.87,217.63,23.84,60.80,1,-1,-1,-1
3,508,172.11,196.52,36.19,109.62,1,-1,-1,-1
3,507,258.20,187.35,48.02,124.50,1,-1,-1,-1
3,506,602.58,192.80,37.72,128.19,1,-1,-1,-1
3,505,43.70,198.81,53.70,141.49,1,-1,-1,-1
3,504,293.38,189.64,42.33,125.12,1,-1,-1,-1
4,508,166.55,194.80,40.54,117.79,1,-1,-1,-1
4,507,259.91,186.88,45.29,117.87,1,-1,-1,-1
4,505,32.93,194.08,56.76,144.33,1,-1,-1,-1
4,504,296.35,189.59,41.97,121.43,1,-1,-1,-1
5,508,163.59,194.42,40.14,116.89,1,-1,-1,-1
5,507,253.57,189.29,47.02,112.74,1,-1,-1,-1
5,505,29.94,188.42,59.04,150.40,1,-1,-1,-1
5,504,297.68,192.01,42.63,118.84,1,-1,-1,-1
6,508,161.64,191.74,40.47,119.89,1,-1,-1,-1
6,507,254.73,190.81,47.74,114.04,1,-1,-1,-1
6,505,22.39,185.95,60.37,154.81,1,-1,-1,-1
6,504,301.53,192.60,39.42,112.11,1,-1,-1,-1
7,510,213.90,215.02,29.15,65.78,1,-1,-1,-1
7,508,161.50,193.31,39.53,121.71,1,-1,-1,-1
7,507,259.88,192.74,47.26,112.89,1,-1,-1,-1
7,505,14.81,183.53,60.95,155.94,1,-1,-1,-1
7,504,304.78,197.39,40.24,113.54,1,-1,-1,-1
8,510,211.59,220.07,27.33,63.69,1,-1,-1,-1
8,508,157.81,194.08,39.46,118.90,1,-1,-1,-1
8,507,260.72,193.51,49.44,115.83,1,-1,-1,-1
8,505,5.76,172.61,63.04,167.40,1,-1,-1,-1
8,504,309.88,201.52,39.37,109.07,1,-1,-1,-1
9,510,210.04,221.71,26.34,64.06,1,-1,-1,-1
9,508,154.95,196.43,40.47,122.13,1,-1,-1,-1
9,507,263.34,195.01,49.75,116.36,1,-1,-1,-1
9,505,-0.28,169.64,66.91,181.41,1,-1,-1,-1
9,504,310.19,199.15,39.39,109.99,1,-1,-1,-1
10,510,210.06,219.18,25.26,64.28,1,-1,-1,-1
10,508,151.24,194.55,42.67,126.53,1,-1,-1,-1
